id,parent_id,admin_level,name,relation_name
2805,28,6,ełcki,powiat ełcki
2806,28,6,giżycki,powiat giżycki
2807,28,6,iławski,powiat iławski
2808,28,6,kętrzyński,powiat kętrzyński
2809,28,6,lidzbarski,powiat lidzbarski
2810,28,6,mrągowski,powiat mrągowski
2811,28,6,nidzicki,powiat nidzicki
2812,28,6,nowomiejski,powiat nowomiejski
2813,28,6,olecki,powiat olecki
2814,28,6,olsztyński,powiat olsztyński
2815,28,6,ostródzki,powiat ostródzki
2816,28,6,piski,powiat piski
2817,28,6,szczycieński,powiat szczycieński
2818,28,6,gołdapski,powiat gołdapski
2819,28,6,węgorzewski,powiat węgorzewski
2861,28,6,Elbląg,miasto na prawach powiatu Elbląg
2862,28,6,Olsztyn,miasto na prawach powiatu Olsztyn
30,1,4,wielkopolskie,województwo wielkopolskie
3001,30,6,chodzieski,powiat chodzieski
3002,30,6,czarnkowsko-trzcianecki,powiat czarnkowsko-trzcianecki
3003,30,6,gnieźnieński,powiat gnieźnieński
3004,30,6,gostyński,powiat gostyński
3005,30,6,grodziski,powiat grodziski
3006,30,6,jarociński,powiat jarociński
3007,30,6,kaliski,powiat kaliski
3008,30,6,kępiński,powiat kępiński
3009,30,6,kolski,powiat kolski
3010,30,6,koniński,powiat koniński
3011,30,6,kościański,powiat kościański
3012,30,6,krotoszyński,powiat krotoszyński
3013,30,6,leszczyński,powiat leszczyński
3014,30,6,międzychodzki,powiat międzychodzki
3015,30,6,nowotomyski,powiat nowotomyski
3016,30,6,obornicki,powiat obornicki
3017,30,6,ostrowski,powiat ostrowski
3018,30,6,ostrzeszowski,powiat ostrzeszowski
3019,30,6,pilski,powiat pilski
3020,30,6,pleszewski,powiat pleszewski
3021,30,6,poznański,powiat poznański
3022,30,6,rawicki,powiat rawicki
3023,30,6,słupecki,powiat słupecki
3024,30,6,szamotulski,powiat szamotulski
3025,30,6,średzki,powiat średzki
3026,30,6,śremski,powiat śremski
3027,30,6,turecki,powiat turecki
3028,30,6,wągrowiecki,powiat wągrowiecki
3029,30,6,wolsztyński,powiat wolsztyński
3030,30,6,wrzesiński,powiat wrzesiński
3031,30,6,złotowski,powiat złotowski
3061,30,6,Kalisz,miasto na prawach powiatu Kalisz
3062,30,6,Konin,miasto na prawach powiatu Konin
3063,30,6,Leszno,miasto na prawach powiatu Leszno
3064,30,6,Poznań,miasto na prawach powiatu Poznań
32,1,4,zachodniopomorskie,województwo zachodniopomorskie
3201,32,6,białogardzki,powiat białogardzki
3202,32,6,choszczeński,powiat choszczeński
3203,32,6,drawski,powiat drawski
3204,32,6,goleniowski,powiat goleniowski
3205,32,6,gryficki,powiat gryficki
3206,32,6,gryfiński,powiat gryfiński
3207,32,6,kamieński,powiat kamieński
3208,32,6,kołobrzeski,powiat kołobrzeski
3209,32,6,koszaliński,powiat koszaliński
3210,32,6,myśliborski,powiat myśliborski
3211,32,6,policki,powiat policki
3212,32,6,pyrzycki,powiat pyrzycki
3213,32,6,sławieński,powiat sławieński
3214,32,6,stargardzki,powiat stargardzki
3215,32,6,szczecinecki,powiat szczecinecki
3216,32,6,świdwiński,powiat świdwiński
3217,32,6,wałecki,powiat wałecki
3218,32,6,łobeski,powiat łobeski
3261,32,6,Koszalin,miasto na prawach powiatu Koszalin
3262,32,6,Szczecin,miasto na prawach powiatu Szczecin
3263,32,6,Świnoujście,miasto na prawach powiatu Świnoujście
